Título,Total,total deflactado,Sector privado no financiero,sector privado no financiero deflactado,Sector financiero no bancario,sector financiero no bancario deflactado,Sector público,sector público deflactado,Otros sectores,otros sectores deflactados,Sector externo,sector externo deflactado,Crédito a banca comercial,crédito a banca comercial deflactado,INPC mensual
Mar 2009,"1,873,559.8","2,689,300.2","1,526,916.6","2,191,729.9","153,846.3","220,830.4","135,773.4","194,888.6","20,414.8","29,303.3","36,608.6","52,547.8","1,673.0","2,401.4",70.00995018
Abr 2009,"1,863,206.5","2,665,111.0","1,519,084.6","2,172,882.7","153,272.5","219,239.4","135,716.2","194,127.0","20,419.0","29,207.1","34,714.2","49,654.8","1,863.0","2,664.8",70.25499019
May 2009,"1,850,380.0","2,654,495.9","1,509,172.4","2,165,010.4","150,337.1","215,668.8","138,858.2","199,201.5","20,420.2","29,294.2","31,592.1","45,321.0","1,777.0","2,549.2",70.05035847
Jun 2009,"1,853,551.2","2,654,157.6","1,499,612.8","2,147,342.2","148,894.8","213,207.1","147,714.9","211,517.6","24,918.4","35,681.4","32,410.3","46,409.3","1,780.8","2,550.0",70.17935416
Jul 2009,"1,867,391.2","2,666,711.7","1,503,101.9","2,146,491.5","146,626.2","209,388.3","160,510.8","229,216.0","24,960.6","35,644.8","32,191.6","45,970.9","1,380.6","1,971.6",70.37051645
Ago 2009,"1,851,298.9","2,637,420.9","1,486,873.1","2,118,248.0","140,451.3","200,091.5","165,441.4","235,693.2","25,007.5","35,626.5","33,525.6","47,761.7",844.8,"1,203.5",70.53888432
Sep 2009,"1,890,559.6","2,679,910.2","1,503,122.0","2,130,708.8","138,692.1","196,599.1","188,854.2","267,705.0","24,636.6","34,922.9","35,254.7","49,974.3",799.7,"1,133.6",70.89271587
Oct 2009,"1,898,035.0","2,682,391.6","1,500,911.5","2,121,158.2","127,902.2","180,757.4","212,507.0","300,324.8","23,148.2","32,714.1","33,566.1","47,437.2",768.9,"1,086.6",71.10719063
Nov 2009,"1,915,995.0","2,693,800.0","1,493,259.9","2,099,454.1","140,850.2","198,028.8","223,342.6","314,009.3","22,761.2","32,001.2","35,781.1","50,306.6",763.1,"1,072.9",71.47604578
Dic 2009,"1,957,629.8","2,740,992.7","1,503,854.6","2,105,635.4","140,700.4","197,002.9","256,755.8","359,498.9","12,550.3","17,572.4","43,768.7","61,283.1","1,235.9","1,730.5",71.77185517
Ene 2010,"1,959,690.9","2,714,372.2","1,501,071.5","2,079,137.5","136,200.3","188,651.3","265,050.4","367,121.9","12,773.1","17,692.0","44,595.6","61,769.5",577.7,800.2,72.55204598
Feb 2010,"1,956,946.9","2,694,984.3","1,505,485.3","2,073,259.8","134,651.4","185,433.4","262,997.4","362,183.5","12,788.3","17,611.2","41,024.4","56,496.2",911.9,"1,255.8",72.97167051
Mar 2010,"1,955,013.4","2,673,342.5","1,503,741.1","2,056,259.6","132,377.4","181,016.7","261,879.0","358,101.0","12,614.5","17,249.4","44,401.5","60,715.9","1,083.2","1,481.2",73.48972549
Abr 2010,"1,952,943.1","2,679,047.8","1,505,909.9","2,065,807.5","131,744.7","180,727.4","259,665.9","356,209.7","12,586.1","17,265.6","43,036.6","59,037.6",969.1,"1,329.4",73.25556464
May 2010,"1,988,856.8","2,745,614.5","1,525,815.5","2,106,386.5","130,049.9","179,533.7","268,644.6","370,863.6","12,308.8","16,992.3","52,038.0","71,838.4",886.3,"1,223.5",72.79397765
Jun 2010,"2,001,230.0","2,763,561.0","1,536,268.5","2,121,481.2","126,898.3","175,237.8","274,820.0","379,507.5","12,276.3","16,952.7","50,966.9","70,381.8","1,213.0","1,675.1",72.77118323
Jul 2010,"2,011,092.9","2,771,164.0","1,535,664.9","2,116,053.1","126,808.4","174,734.3","284,763.6","392,387.0","12,290.5","16,935.6","51,565.6","71,054.3","1,227.3","1,691.1",72.92919
Ago 2010,"2,029,913.0","2,789,349.6","1,556,066.8","2,138,226.8","125,225.8","172,075.6","283,210.4","389,165.9","11,973.9","16,453.6","53,436.2","73,427.9","1,200.5","1,649.6",73.1317495
Sep 2010,"2,053,251.4","2,806,706.5","1,579,522.2","2,159,139.0","126,253.8","172,583.5","285,382.7","390,105.9","12,002.8","16,407.3","50,089.9","68,470.7","1,285.9","1,757.8",73.51511019
Oct 2010,"2,070,201.4","2,812,514.5","1,603,289.6","2,178,181.9","125,596.5","170,631.7","278,021.5","377,711.8","12,016.6","16,325.4","51,277.1","69,663.6",937.8,"1,274.1",73.96892635
Nov 2010,"2,098,611.3","2,828,449.2","1,626,395.4","2,192,009.9","127,726.9","172,146.7","282,958.2","381,363.1","11,702.9","15,772.8","49,827.9","67,156.6","1,003.8","1,352.9",74.56158125
Dic 2010,"2,125,524.7","2,850,600.7","1,645,961.7","2,207,445.3","124,779.7","167,345.5","294,844.3","395,423.9","11,323.3","15,186.0","48,615.7","65,199.9","1,592.4","2,135.6",74.93095445
Ene 2011,"2,116,837.7","2,825,187.0","1,656,923.8","2,211,373.9","111,889.4","149,330.5","287,504.8","383,711.4","13,835.9","18,465.8","46,683.8","62,305.4","1,367.3","1,824.8",75.29599135
Feb 2011,"2,152,721.9","2,862,341.0","1,677,196.3","2,230,064.1","110,145.0","146,453.0","304,116.8","404,365.3","13,525.1","17,983.5","47,738.7","63,475.2","1,358.6","1,806.4",75.57846024
Mar 2011,"2,173,050.2","2,883,837.9","1,703,111.1","2,260,185.4","109,096.6","144,781.2","302,173.7","401,012.4","13,489.1","17,901.3","45,179.7","59,957.6","2,809.6","3,728.6",75.72345093
Abr 2011,"2,210,892.6","2,934,291.2","1,707,607.3","2,266,332.2","133,567.3","177,270.2","310,818.7","412,517.8","13,502.9","17,921.0","45,396.4","60,250.0","2,782.8","3,693.3",75.71744095
May 2011,"2,224,558.7","2,974,355.3","1,724,683.9","2,305,995.6","131,514.0","175,841.3","307,369.6","410,969.8","13,192.0","17,638.4","47,799.2","63,910.1","3,005.3","4,018.2",75.15926438
Jun 2011,"2,224,265.3","2,974,111.6","1,737,862.6","2,323,732.4","129,172.4","172,719.1","289,891.8","387,620.4","13,151.2","17,584.7","54,187.2","72,454.8","2,842.7","3,801.0",75.15550814
Jul 2011,"2,250,926.9","2,995,389.4","1,762,720.6","2,345,715.7","131,925.1","175,557.5","291,006.0","387,252.2","13,166.0","17,520.5","52,109.2","69,343.6","3,068.2","4,083.0",75.51610674
Ago 2011,"2,278,301.6","3,027,029.9","1,783,340.3","2,369,407.3","133,745.2","177,698.5","300,566.0","399,342.3","12,855.5","17,080.3","47,794.6","63,501.5","2,993.6","3,977.4",75.63555502
Sep 2011,"2,335,001.5","3,094,770.9","1,829,522.7","2,424,817.9","135,742.8","179,911.2","300,798.2","398,672.8","12,814.8","16,984.5","56,123.0","74,384.5","2,751.0","3,646.1",75.82111305
Oct 2011,"2,334,484.6","3,073,348.5","1,834,775.7","2,415,481.8","134,095.3","176,536.4","302,763.8","398,588.5","12,825.3","16,884.5","50,024.5","65,857.2","3,242.8","4,269.1",76.3327123
Nov 2011,"2,391,790.9","3,115,099.1","1,876,037.2","2,443,374.9","144,182.0","187,784.5","309,353.6","402,906.1","12,520.1","16,306.3","49,698.0","64,727.3","3,332.6","4,340.4",77.15833283
Dic 2011,"2,461,500.4","3,179,759.8","1,912,494.6","2,470,555.5","167,929.0","216,930.2","323,437.6","417,815.8","9,362.3","12,094.2","48,276.9","62,364.0","1,725.5","2,229.0",77.79238536
Ene 2012,"2,450,079.2","3,142,759.4","1,901,163.9","2,438,656.2","166,507.7","213,582.3","327,361.0","419,911.7","9,364.3","12,011.8","45,682.3","58,597.5","1,395.9","1,790.5",78.34304946
