time,value,group,percentage
01/12/2007,1736.3,F,0.001010939
01/01/2008,1481714.7,A,0.852050836
01/01/2008,69831.4,B,0.040156113
01/01/2008,108762.3,C,0.062543085
01/01/2008,61546.6,D,0.03539199
01/01/2008,17143,E,0.009857976
01/01/2008,1472.1,F,0.000846522
01/02/2008,1501055,A,0.855184705
01/02/2008,70266.3,B,0.040032287
01/02/2008,108636.8,C,0.061892822
01/02/2008,53476.8,D,0.030466933
01/02/2008,21805.8,E,0.012423253
01/02/2008,1651.9,F,0.000941124
01/03/2008,1423986.3,A,0.80755927
01/03/2008,141683.1,B,0.080350142
01/03/2008,124814.1,C,0.070783535
01/03/2008,50470.6,D,0.028622467
01/03/2008,22366.9,E,0.01268453
01/03/2008,1552.6,F,0.000880498
01/04/2008,1447221.6,A,0.812451019
01/04/2008,141495.6,B,0.079433754
01/04/2008,123036.2,C,0.069070891
01/04/2008,45962,D,0.025802457
01/04/2008,23587.9,E,0.013241934
01/04/2008,1722.7,F,0.000967101
01/05/2008,1459201.5,A,0.804147428
01/05/2008,145625,B,0.080252089
01/05/2008,134037.1,C,0.073866145
01/05/2008,43888.6,D,0.02418645
01/05/2008,31842.2,E,0.017547832
01/05/2008,1862.7,F,0.00102651
01/06/2008,1464423.5,A,0.80508038
01/06/2008,145246.5,B,0.079850608
01/06/2008,136592,C,0.075092717
01/06/2008,38020.5,D,0.020902122
01/06/2008,34695.4,E,0.019074117
01/06/2008,2176.8,F,0.001196716
01/07/2008,1478073.5,A,0.806001973
01/07/2008,145529.2,B,0.079357909
01/07/2008,139103.5,C,0.075853938
01/07/2008,31536.9,D,0.017197253
01/07/2008,39590.5,E,0.021588927
01/07/2008,2005.9,F,0.001093829
01/08/2008,1499712.3,A,0.806589997
01/08/2008,147601.8,B,0.07938465
01/08/2008,142238.7,C,0.076500214
01/08/2008,31636.9,D,0.017015268
01/08/2008,38134.4,E,0.020509817
01/08/2008,1679.5,F,0.000903285
01/09/2008,1460998,A,0.784123943
01/09/2008,190637.2,B,0.102315809
01/09/2008,141161.2,C,0.075761826
01/09/2008,30874.4,D,0.016570424
01/09/2008,39552.6,E,0.021228051
01/09/2008,1839.9,F,0.000987482
01/10/2008,1517205.3,A,0.795334248
01/10/2008,186144.6,B,0.097578868
01/10/2008,147186.5,C,0.077156641
01/10/2008,22322.3,D,0.011701574
01/10/2008,34773.6,E,0.01822867
01/10/2008,2166.3,F,0.001135596
01/11/2008,1538926,A,0.800917805
01/11/2008,181311.3,B,0.094361554
01/11/2008,142010.8,C,0.073908023
01/11/2008,22401.6,D,0.011658676
01/11/2008,36803.4,E,0.019153941
01/11/2008,1993.6,F,0.001037548
01/12/2008,1522956.4,A,0.808543218
01/12/2008,167375.2,B,0.088860116
01/12/2008,132990.3,C,0.070605045
01/12/2008,20824.1,D,0.011055592
01/12/2008,39434.7,E,0.020936029
01/12/2008,1715.9,F,0.000910978
01/01/2009,1547746.6,A,0.813397505
01/01/2009,162411.3,B,0.085353084
01/01/2009,135501.5,C,0.071210999
01/01/2009,20880,D,0.010973204
01/01/2009,36277.6,E,0.019065207
01/01/2009,1430.1,F,0.00075157
01/02/2009,1549619.9,A,0.81424292
01/02/2009,159662.5,B,0.08389416
01/02/2009,136781.8,C,0.071871568
01/02/2009,20943.9,D,0.011004907
01/02/2009,36133.9,E,0.018986445
01/02/2009,1605.6,F,0.000843657
01/03/2009,1526916.6,A,0.814981513
01/03/2009,153846.3,B,0.082114433
01/03/2009,135773.4,C,0.072468143
01/03/2009,20414.8,D,0.010896263
01/03/2009,36608.6,E,0.019539595
01/03/2009,1673,F,0.000892953
01/04/2009,1519084.6,A,0.815306623
01/04/2009,153272.5,B,0.082262755
01/04/2009,135716.2,C,0.072840128
01/04/2009,20419,D,0.010959064
01/04/2009,34714.2,E,0.018631429
01/04/2009,1863,F,0.000999889
01/05/2009,1509172.4,A,0.815601336
01/05/2009,150337.1,B,0.081246609
01/05/2009,138858.2,C,0.075043072
01/05/2009,20420.2,D,0.011035679
01/05/2009,31592.1,E,0.017073304
01/05/2009,1777,F,0.000960343
01/06/2009,1499612.8,A,0.80904849
01/06/2009,148894.8,B,0.080329478
01/06/2009,147714.9,C,0.079692916
01/06/2009,24918.4,D,0.0134436
01/06/2009,32410.3,E,0.017485516
01/06/2009,1780.8,F,0.00096075
01/07/2009,1503101.9,A,0.804920736
01/07/2009,146626.2,B,0.078519273
01/07/2009,160510.8,C,0.085954566
01/07/2009,24960.6,D,0.013366562
01/07/2009,32191.6,E,0.017238809
01/07/2009,1380.6,F,0.00073932
01/08/2009,1486873.1,A,0.80315129
01/08/2009,140451.3,B,0.075866355
01/08/2009,165441.4,C,0.08936504
01/08/2009,25007.5,D,0.013508083
01/08/2009,33525.6,E,0.018109231
01/08/2009,844.8,F,0.000456328
01/09/2009,1503122,A,0.795067238
